,title,category,post_type,features
0,hello there,Plant Biotechnology,blog,hello there Plant Biotechnology blog
1,Ml and AI,Artificial Intelligence|Machine Learning|Information Technology,blog,Ml and AI Artificial Intelligence|Machine Learning|Information Technology blog
2,What is an Operating System ?,Operating Systems,blog,What is an Operating System ? Operating Systems blog
3,Lord Shiva,Drawings,artwork,Lord Shiva Drawings artwork
4,How Competition law evolved?,Competition Laws,blog,How Competition law evolved? Competition Laws blog
5,Raghavan Committee - 2002.,Competition Laws,blog,Raghavan Committee - 2002. Competition Laws blog
6,Let's discuss some Case laws!,Competition Laws,blog,Let's discuss some Case laws! Competition Laws blog
7,Forms of Cartel.,Competition Laws,blog,Forms of Cartel. Competition Laws blog
8,Biodiversity,Eco System,blog,Biodiversity Eco System blog
9,Economic policy,Economic Policies,blog,Economic policy Economic Policies blog
10,Corporate design,Graphic|Graphic Design,artwork,Corporate design Graphic|Graphic Design artwork
11,Trident,Drawings,artwork,Trident Drawings artwork
12,Lord shiva,Drawings,artwork,Lord shiva Drawings artwork
13,Smart City,Painting,artwork,Smart City Painting artwork
14,Om Namah Shivaay,Pen and ink,artwork,Om Namah Shivaay Pen and ink artwork
15,Kid Bu,Drawings,artwork,Kid Bu Drawings artwork
16,MIS,Computer Technology|Information Technology,blog,MIS Computer Technology|Information Technology blog
17,Portrait art,Drawings|Painting,artwork,Portrait art Drawings|Painting artwork
18,CLASSIFYING FORMS OF CARTELS,Competition Laws,blog,CLASSIFYING FORMS OF CARTELS Competition Laws blog
19,Best friend,Graphic Design|Visual Arts|Illustration|Graphic,artwork,Best friend Graphic Design|Visual Arts|Illustration|Graphic artwork
20,Calligraphy,Drawings|Calligraphy,artwork,Calligraphy Drawings|Calligraphy artwork
21,Colours of pushkar.,Photography,artwork,Colours of pushkar. Photography artwork
22,Marital Rape - Rape is Rape,Empowerment,blog,Marital Rape - Rape is Rape Empowerment blog
23,Spirituality,Photography,artwork,Spirituality Photography artwork
24,Library Managment System: Software Requirement Specification (SRS),,project,
25,Navigation system using BFS DFS algorithms,,project,
26,Shadow Sketch,Drawings,artwork,Shadow Sketch Drawings artwork
27,Promotional video.,Video editing,skill,Promotional video. Video editing skill
28,The Periodic Table,Inorganic Chemistry,blog,The Periodic Table Inorganic Chemistry blog
29,Computer Aided Machine Drawing (CAMD),,project,
30,The Chosen,Drawings,artwork,The Chosen Drawings artwork
31,Python 3 Programming Introduction,Programming languages,blog,Python 3 Programming Introduction Programming languages blog
32,Chat App UI Desgin,Conceptual|Graphic Design,artwork,Chat App UI Desgin Conceptual|Graphic Design artwork
33,Workforce Diversity as a Challenge,HR Management,blog,Workforce Diversity as a Challenge HR Management blog
34,Spartan,Drawings,artwork,Spartan Drawings artwork
35,Human Resource Management,Human Resources|HR Management,blog,Human Resource Management Human Resources|HR Management blog
36,Personal growth,Mass Media|International Relations,blog,Personal growth Mass Media|International Relations blog
37,CONTOURING CLAY,Sculptures|Artistic design,artwork,CONTOURING CLAY Sculptures|Artistic design artwork
38,Multipurpose Jewel,Fashion Design|Ceramics|Artistic design,artwork,Multipurpose Jewel Fashion Design|Ceramics|Artistic design artwork
39,Traditional and Modern Sports,Craft|Artistic design,artwork,Traditional and Modern Sports Craft|Artistic design artwork
40,LGBT PRIDE,Fashion Design|Visual Arts|Conceptual|Artistic design,artwork,LGBT PRIDE Fashion Design|Visual Arts|Conceptual|Artistic design artwork
41,Magazine Cover Redefined,Photography|Fashion Design|Visual Arts|Graphic Design|Artistic design,artwork,Magazine Cover Redefined Photography|Fashion Design|Visual Arts|Graphic Design|Artistic design artwork
42,'The Virtual ME',Fashion Design|Visual Arts|Graphic Design|Artistic design|Graphic|Illustration,artwork,'The Virtual ME' Fashion Design|Visual Arts|Graphic Design|Artistic design|Graphic|Illustration artwork
43,Abacus,Mathematics|Linear Algebra,blog,Abacus Mathematics|Linear Algebra blog
44,Will AI replace humans intellectual work?,Electronics & electrical Technology|Electrical Machines,blog,Will AI replace humans intellectual work? Electronics & electrical Technology|Electrical Machines blog
45,ROMAN REIGNS,Drawings,artwork,ROMAN REIGNS Drawings artwork
46,OM,Drawings,artwork,OM Drawings artwork
47,MK Swords,Drawings,artwork,MK Swords Drawings artwork
48,HOW INTERNAL AUDIT WORKS,Auditing|Internal Audit,blog,HOW INTERNAL AUDIT WORKS Auditing|Internal Audit blog
49,E-Commerce,E Commerce|E Transactions,blog,E-Commerce E Commerce|E Transactions blog
50,SEO (Search Engine Optimization),Computer Technology|Computation,blog,SEO (Search Engine Optimization) Computer Technology|Computation blog
51,IMPORTANCE OF INTERNAL FINANCIAL CONTROL,Auditing|Internal Financial Control,blog,IMPORTANCE OF INTERNAL FINANCIAL CONTROL Auditing|Internal Financial Control blog
52,Custom laws,Taxation|Custom Laws,blog,Custom laws Taxation|Custom Laws blog
53,WHY AUDIT EVIDENCE IS NECESSARY?,Auditing|Audit Evidence,blog,WHY AUDIT EVIDENCE IS NECESSARY? Auditing|Audit Evidence blog
54,GOODS & SERVICE TAX (GST),Taxation|GST,blog,GOODS & SERVICE TAX (GST) Taxation|GST blog
55,DIRECT TAX,Taxation|Direct Tax,blog,DIRECT TAX Taxation|Direct Tax blog
56,SECRETARIAL AUDIT,Auditing|Secratarial Audit,blog,SECRETARIAL AUDIT Auditing|Secratarial Audit blog
57,ROLE OF BANKING COMPANIES IN INDIA,Banking|Banking Companies,blog,ROLE OF BANKING COMPANIES IN INDIA Banking|Banking Companies blog
58,WHAT NEW TECHNOLOGY DOES BANKS ARE USING TODAY?,Banking|Banking Technology,blog,WHAT NEW TECHNOLOGY DOES BANKS ARE USING TODAY? Banking|Banking Technology blog
59,AUDIT REMARK,Auditing|Audit Remark,blog,AUDIT REMARK Auditing|Audit Remark blog
60,WHY COST AUDIT IS IMPORTANT FOR A COMPANY,Auditing|Cost Audit,blog,WHY COST AUDIT IS IMPORTANT FOR A COMPANY Auditing|Cost Audit blog
61,WHAT IS STATUTORY AUDIT,Auditing|Statuary Audit,blog,WHAT IS STATUTORY AUDIT Auditing|Statuary Audit blog
62,Travelling,Photography,artwork,Travelling Photography artwork
63,PHP,Computer Technology|Programming languages,blog,PHP Computer Technology|Programming languages blog
64,C#(.NET),Computer Technology|Programming languages,blog,C#(.NET) Computer Technology|Programming languages blog
65,OS,,project,
66,BASIC STRUCTURE DOCTRINE,Legal Studies|Legal System,blog,BASIC STRUCTURE DOCTRINE Legal Studies|Legal System blog
67,SPORTS LEGISLATIONS IN INDIA,Sports Coaching|Sports Law,blog,SPORTS LEGISLATIONS IN INDIA Sports Coaching|Sports Law blog
68,Economics Sociology,Economics|Economics Sociology,blog,Economics Sociology Economics|Economics Sociology blog
69,Concept of Revenue,Economics|Revenue Concept,blog,Concept of Revenue Economics|Revenue Concept blog
70,Human Rights and Duties,Human Rights|Rights and Duties,blog,Human Rights and Duties Human Rights|Rights and Duties blog
71,Concept of Human Rights and Duties,Human Rights|Rights and Duties,blog,Concept of Human Rights and Duties Human Rights|Rights and Duties blog
72,Sociology of Religion,Sociology|Sociology of Religion,blog,Sociology of Religion Sociology|Sociology of Religion blog
73,Sociology in India,Sociology|Sociology in India,blog,Sociology in India Sociology|Sociology in India blog
74,International Politics,Political Science|International Politics,blog,International Politics Political Science|International Politics blog
75,Colonialism in India,Political Science|Colonialism In India,blog,Colonialism in India Political Science|Colonialism In India blog
76,Labour law,Legal Studies|Labor Law,blog,Labour law Legal Studies|Labor Law blog
77,PHP Variables,Computer Technology|Design and Analysis of Algorithms|Programming languages,blog,PHP Variables Computer Technology|Design and Analysis of Algorithms|Programming languages blog
78,Operators In PHP,Computer Technology|Computer Application|Programming languages|Information Technology,blog,Operators In PHP Computer Technology|Computer Application|Programming languages|Information Technology blog
79,Computer Graphics,Graphics|Computer Creation,blog,Computer Graphics Graphics|Computer Creation blog
80,Graphical Input Devices,Graphics|Computer Creation,blog,Graphical Input Devices Graphics|Computer Creation blog
81,EDI (Electronic data interchange),E Commerce|Other Online Platforms,blog,EDI (Electronic data interchange) E Commerce|Other Online Platforms blog
82,Making of the Joker sketch,Drawing,skill,Making of the Joker sketch Drawing skill
83,Lord shiva (Shadow Drawing),Drawings|Artistic design,artwork,Lord shiva (Shadow Drawing) Drawings|Artistic design artwork
84,Hand Art,Drawings|Artistic design|Illustration,artwork,Hand Art Drawings|Artistic design|Illustration artwork
85,Hand art,Drawing,skill,Hand art Drawing skill
86,E-Commerce - Business Models,E Commerce|Shopping Platform|Other Online Platforms,blog,E-Commerce - Business Models E Commerce|Shopping Platform|Other Online Platforms blog
87,E-Cash,E Commerce|E Transactions,blog,E-Cash E Commerce|E Transactions blog
88,Bill Calculation(PHP),,project,
89,Stereoscopic and virtual-reality systems,Computer Technology|Hardware|Information Technology,blog,Stereoscopic and virtual-reality systems Computer Technology|Hardware|Information Technology blog
90,Raster graphics systems,Computer Technology|Computation|Computer Application,blog,Raster graphics systems Computer Technology|Computation|Computer Application blog
91,Printers,Computer Technology|Computation,blog,Printers Computer Technology|Computation blog
92,Business skills,Business|Business Skills,blog,Business skills Business|Business Skills blog
93,Prime No.(PHP),,project,
94,Factorial of a No.(PHP),,project,
95,Palindrome No.(PHP),,project,
96,Factorial (.net),,project,
97,Leap year checking (.net),,project,
98,Delegates(.net),,project,
99,Overloading Method(.net),,project,
100,Mahakaal,Drawings,artwork,Mahakaal Drawings artwork
101,Firewall,Computer Technology|Computer Application|Hardware|Information Technology,blog,Firewall Computer Technology|Computer Application|Hardware|Information Technology blog
102,DATA AND MESSAGE SECURITY,Computer Technology|Computer Application,blog,DATA AND MESSAGE SECURITY Computer Technology|Computer Application blog
103,Mobile Computing Technology,Computer Technology|Mobile Applications,blog,Mobile Computing Technology Computer Technology|Mobile Applications blog
104,Applications of mobile computing,Computer Technology|Computer Application,blog,Applications of mobile computing Computer Technology|Computer Application blog
105,Data Transmission Modes,Computer Technology|Computer Application|Operating Systems,blog,Data Transmission Modes Computer Technology|Computer Application|Operating Systems blog
106,Topology & it's types,Computer Technology|Information Technology|Computer Application,blog,Topology & it's types Computer Technology|Information Technology|Computer Application blog
107,Baseband & Broadband,Computer Technology|Computer Application|Information Technology,blog,Baseband & Broadband Computer Technology|Computer Application|Information Technology blog
108,Information System,Computer Technology|Information Technology|Computer Application,blog,Information System Computer Technology|Information Technology|Computer Application blog
109,Database management system(DBMS),Computer Technology|Computer Application|Information Technology,blog,Database management system(DBMS) Computer Technology|Computer Application|Information Technology blog
110,Ethernet,Computer Technology|Information Technology,blog,Ethernet Computer Technology|Information Technology blog
111,Mahakaal,Drawing,skill,Mahakaal Drawing skill
112,Network Model,Computer Technology|Computer Application|Information Technology,blog,Network Model Computer Technology|Computer Application|Information Technology blog
113,Decision Making with 7 steps !!!,Computer Technology|Computer Application|Information Technology,blog,Decision Making with 7 steps !!! Computer Technology|Computer Application|Information Technology blog
114,Network & it's types,Computer Technology|Computer Application|Information Technology,blog,Network & it's types Computer Technology|Computer Application|Information Technology blog
115,Communication,Communication|Basics of Communiaction,blog,Communication Communication|Basics of Communiaction blog
116,Network Security Threats,Computer Technology|Computer Application,blog,Network Security Threats Computer Technology|Computer Application blog
117,Morning nectar,Drawings,artwork,Morning nectar Drawings artwork
118,I am just hoping we'll have cake by the ocean,Drawings,artwork,I am just hoping we'll have cake by the ocean Drawings artwork
119,The girl in the meadow,Drawings|Painting|Visual Arts|Graphic Design|Prints|Illustration,artwork,The girl in the meadow Drawings|Painting|Visual Arts|Graphic Design|Prints|Illustration artwork
120,Concept of Revenue,Economics|Revenue Concept,blog,Concept of Revenue Economics|Revenue Concept blog
121,The Nerd who was thrown out.,Drawings|Visual Arts|Painting|Graphic Design|Artistic design|Illustration,artwork,The Nerd who was thrown out. Drawings|Visual Arts|Painting|Graphic Design|Artistic design|Illustration artwork
122,Artificial Intelligence,Computer Technology|Artificial Intelligence,blog,Artificial Intelligence Computer Technology|Artificial Intelligence blog
123,Importance of Digital Marketing for Startups,Marketing|Advertising,blog,Importance of Digital Marketing for Startups Marketing|Advertising blog
124,What is Effective Leadership In Politics,Political Science|Political Thought,blog,What is Effective Leadership In Politics Political Science|Political Thought blog
125,Preparation and Presentation of Company Final Accounts,Accounting|Fundamental Of Accounting,blog,Preparation and Presentation of Company Final Accounts Accounting|Fundamental Of Accounting blog
126,SERP Meta Checker | Check Your Meta Preview in SERP | Tools For Search Engine Optimization,Mixed Media,artwork,SERP Meta Checker | Check Your Meta Preview in SERP | Tools For Search Engine Optimization Mixed Media artwork
127,Terrible Leadership And Its Influence In Companies,Management|Team Mangememnt,blog,Terrible Leadership And Its Influence In Companies Management|Team Mangememnt blog
128,What is Information technology?,Computer Technology|Information Technology,blog,What is Information technology? Computer Technology|Information Technology blog
129,Why Do Millennials Change Jobs?,Business|Corporate Social Responsibilities,blog,Why Do Millennials Change Jobs? Business|Corporate Social Responsibilities blog
130,Distracted? Unfocused? Used This Method To Avoid Distraction.,Philosophy|Applied Ethics,blog,Distracted? Unfocused? Used This Method To Avoid Distraction. Philosophy|Applied Ethics blog
131,5 Best Productivity Web Apps For Students.,Human Resources|Performance In Organization|Organizational Behaviour|HR Management,blog,5 Best Productivity Web Apps For Students. Human Resources|Performance In Organization|Organizational Behaviour|HR Management blog
132,Textile And Apparel Testing,Fashion Desigining|Fashion Textile|Fashion Manufacturing|Fashion Techniques|Garment Production|Garment Technology,blog,Textile And Apparel Testing Fashion Desigining|Fashion Textile|Fashion Manufacturing|Fashion Techniques|Garment Production|Garment Technology blog
133,Benefits of Guest Posting to both Writers and Brand,Marketing|Promotion And Distribution Decisions,blog,Benefits of Guest Posting to both Writers and Brand Marketing|Promotion And Distribution Decisions blog
134,Gynecology,Biotechnology|Genetic Engineering,blog,Gynecology Biotechnology|Genetic Engineering blog
135,App Development,Computer Technology|Mobile Applications,blog,App Development Computer Technology|Mobile Applications blog
136,Study of Nerves,Physiology|Neurology,blog,Study of Nerves Physiology|Neurology blog
137,Corona: What it is; how to prevent it and its effect on us,Mass Media|Indian Government,blog,Corona: What it is; how to prevent it and its effect on us Mass Media|Indian Government blog
138,Skeletal System,Physiology|Osteology,blog,Skeletal System Physiology|Osteology blog
139,Protect the Heart,Physiology|Cardiology,blog,Protect the Heart Physiology|Cardiology blog
140,What is Ecology?,Zoology|Ecology,blog,What is Ecology? Zoology|Ecology blog
141,Cloud Computing,Computer Technology|Cloud Computing,blog,Cloud Computing Computer Technology|Cloud Computing blog
142,What is Radiology?,Physiology|Radiology,blog,What is Radiology? Physiology|Radiology blog
143,Operating System 1,Computer Technology|Operating Systems,blog,Operating System 1 Computer Technology|Operating Systems blog
144,Molecular Biology,Biotechnology|Molecular Biology,blog,Molecular Biology Biotechnology|Molecular Biology blog
145,🍉 Watermelon lemon cooler,Physiology|Gastroenterology|Cardiology,blog,🍉 Watermelon lemon cooler Physiology|Gastroenterology|Cardiology blog
146,Quarantine days,Painting,artwork,Quarantine days Painting artwork
147,Sad songs,Philosophy|Logic,blog,Sad songs Philosophy|Logic blog
148,Sunsets in Ottawa,Painting,artwork,Sunsets in Ottawa Painting artwork
149,Sketch,Drawings,artwork,Sketch Drawings artwork
150,Best place in the world,Watercolours,artwork,Best place in the world Watercolours artwork
151,Childhood Sketch,Drawings|Watercolours,artwork,Childhood Sketch Drawings|Watercolours artwork
152,The legend,Drawings,artwork,The legend Drawings artwork
153,The sorting hat,Drawings,artwork,The sorting hat Drawings artwork
154,Truth❤💯,Mixed Media|Conceptual,artwork,Truth❤💯 Mixed Media|Conceptual artwork
155,The Enlightened Dreams,Drawings|Painting|Watercolours,artwork,The Enlightened Dreams Drawings|Painting|Watercolours artwork
156,Gun store Logo.,Visual Arts,artwork,Gun store Logo. Visual Arts artwork
157,Breathe in quarantine!,Drawings|Calligraphy,artwork,Breathe in quarantine! Drawings|Calligraphy artwork
158,I won the Art.,Conceptual,artwork,I won the Art. Conceptual artwork
159,Let's Slide.,Pen and ink,artwork,Let's Slide. Pen and ink artwork
160,21 day Lock down. Quarantine,Conceptual,artwork,21 day Lock down. Quarantine Conceptual artwork
161,Tea!,Drawings,artwork,Tea! Drawings artwork
162,You are late.,Drawings,artwork,You are late. Drawings artwork
163,3D composition.,Tapestry,artwork,3D composition. Tapestry artwork
164,Designs : where magic happens.,Calligraphy,artwork,Designs : where magic happens. Calligraphy artwork
165,Fight: Against Corona virus,Drawings,artwork,Fight: Against Corona virus Drawings artwork
166,How Does A Person's Personal Development Affect His Business Leadership Ability?,Human Resources|Performance In Organization,blog,How Does A Person's Personal Development Affect His Business Leadership Ability? Human Resources|Performance In Organization blog
167,Shiva Portrait,Drawings,artwork,Shiva Portrait Drawings artwork
168,Inside life,Drawings,artwork,Inside life Drawings artwork
169,What sports will look like in the future,Computer Technology|Robotics|Data Science|Information Technology|Artificial Intelligence,blog,What sports will look like in the future Computer Technology|Robotics|Data Science|Information Technology|Artificial Intelligence blog
170,Types Of AI.,Computer Technology|Artificial Intelligence,blog,Types Of AI. Computer Technology|Artificial Intelligence blog
171,Accounting As A Financial Institution.,Accounting|Fundamental Of Accounting,blog,Accounting As A Financial Institution. Accounting|Fundamental Of Accounting blog
172,REAL TALK,Philosophy|Public Philosophy,blog,REAL TALK Philosophy|Public Philosophy blog
173,Top 10 big benefits of having a digital marketing career,Digital Marketing,skill,Top 10 big benefits of having a digital marketing career Digital Marketing skill
174,Painting,Drawings,artwork,Painting Drawings artwork
175,screw town,Photography,artwork,screw town Photography artwork
176,screw2,Photography,artwork,screw2 Photography artwork
177,Netflix: As a Case Study,Mass Media|Videography,blog,Netflix: As a Case Study Mass Media|Videography blog
178,The Meenamma,Drawings|Painting|Visual Arts|Artistic design|Watercolours|Acrylics,artwork,The Meenamma Drawings|Painting|Visual Arts|Artistic design|Watercolours|Acrylics artwork
179,Piglet,Drawings,artwork,Piglet Drawings artwork
180,100 Free University Courses Online [2020],Biotechnology|Plant Biotechnology,blog,100 Free University Courses Online [2020] Biotechnology|Plant Biotechnology blog
181,Will IPL happen this year,Sports Coaching|Sports Event,blog,Will IPL happen this year Sports Coaching|Sports Event blog
182,Is China lying about Corona,Political Science|Government and Politics,blog,Is China lying about Corona Political Science|Government and Politics blog
183,Is The Ozone Layer Healing Itself Because Of The World Lockdown.,Geography|Physical Geography,blog,Is The Ozone Layer Healing Itself Because Of The World Lockdown. Geography|Physical Geography blog
184,Employee Stock Option and Buyback Securities.,Marketing|Promotion And Distribution Decisions,blog,Employee Stock Option and Buyback Securities. Marketing|Promotion And Distribution Decisions blog
185,20 Best Data Science Certification & Courses for 2020,Computer Technology|Data Science,blog,20 Best Data Science Certification & Courses for 2020 Computer Technology|Data Science blog
186,7 Best Python Data Science Courses & Certification [2020],Computer Technology|Machine Learning,blog,7 Best Python Data Science Courses & Certification [2020] Computer Technology|Machine Learning blog
187,7 Steps To Stay Safe From Corona Virus,Mass Media|Indian Government,blog,7 Steps To Stay Safe From Corona Virus Mass Media|Indian Government blog
188,Managing Stress Amidst Corona,Mass Media|Indian Government,blog,Managing Stress Amidst Corona Mass Media|Indian Government blog
189,How to Maintain Physical Distance: Physical Distance 101,Mass Media|Indian Government,blog,How to Maintain Physical Distance: Physical Distance 101 Mass Media|Indian Government blog
190,Work From Home: Working Under Corona's Effect,Mass Media|Indian Government,blog,Work From Home: Working Under Corona's Effect Mass Media|Indian Government blog
191,Disease Prevention,Graphic Design,artwork,Disease Prevention Graphic Design artwork
192,Symptoms of Corona Virus,Visual Arts,artwork,Symptoms of Corona Virus Visual Arts artwork
193,7 Steps To Prevent COVID-19,Visual Arts,artwork,7 Steps To Prevent COVID-19 Visual Arts artwork
194,Break The Chain: Stop The Spread,Visual Arts,artwork,Break The Chain: Stop The Spread Visual Arts artwork
195,Is there any vaccine of COVID-19?,Visual Arts,artwork,Is there any vaccine of COVID-19? Visual Arts artwork
196,Corona's Checklist,Visual Arts,artwork,Corona's Checklist Visual Arts artwork
197,Handwashing 101,Visual Arts,artwork,Handwashing 101 Visual Arts artwork
198,Be kind during Corona,Visual Arts,artwork,Be kind during Corona Visual Arts artwork
199,Self Quarantine,Visual Arts,artwork,Self Quarantine Visual Arts artwork
200,Mask: When to use it,Graphic Design|Visual Arts,artwork,Mask: When to use it Graphic Design|Visual Arts artwork
201,Social Distancing,Visual Arts,artwork,Social Distancing Visual Arts artwork
202,How Soap Kills Corona Virus,Education,skill,How Soap Kills Corona Virus Education skill
203,Oliveres mediterrànies,Geography|Physical Geography,blog,Oliveres mediterrànies Geography|Physical Geography blog
204,Oliveres mediterrànies,Geography|Physical Geography,blog,Oliveres mediterrànies Geography|Physical Geography blog
205,Aesthetic,Photography,artwork,Aesthetic Photography artwork
206,Quarantined,Photography,artwork,Quarantined Photography artwork
207,Bloom🌸,Photography,artwork,Bloom🌸 Photography artwork
208,Dog❤️,Photography,artwork,Dog❤️ Photography artwork
209,Ways to Choose the Perfect Tour or Travel Agency/Company in Bhubaneswar,Business|Business Organisation,blog,Ways to Choose the Perfect Tour or Travel Agency/Company in Bhubaneswar Business|Business Organisation blog
210,What Can I Do to Keep Myself Safe From Coronavirus ?,Zoology|Environmental Biology,blog,What Can I Do to Keep Myself Safe From Coronavirus ? Zoology|Environmental Biology blog
211,JUSTICE FOR NORTH EAST,Human Rights|Fundamental Rights,blog,JUSTICE FOR NORTH EAST Human Rights|Fundamental Rights blog
212,Leap of faith,Photography,artwork,Leap of faith Photography artwork
213,8 Free Data Science Courses & Tutorials [2020],Computer Technology|Design and Analysis of Algorithms,blog,8 Free Data Science Courses & Tutorials [2020] Computer Technology|Design and Analysis of Algorithms blog
214,Must-Visit Hill Stations in Maharashtra,Business|Business Organisation,blog,Must-Visit Hill Stations in Maharashtra Business|Business Organisation blog
215,How Artificial Intelligence tools Help You To Get Smart In Your Content Marketing,Marketing|Marketing Management,blog,How Artificial Intelligence tools Help You To Get Smart In Your Content Marketing Marketing|Marketing Management blog
216,What Is Amalgamation; Absorption and Reconstruction Of Companies?,Accounting|Partnership Accounting|Corporate Accounting|Accounting Theory And Practices,blog,What Is Amalgamation; Absorption and Reconstruction Of Companies? Accounting|Partnership Accounting|Corporate Accounting|Accounting Theory And Practices blog
217,The silence that shouts,Photography,artwork,The silence that shouts Photography artwork
218,The silence that shouts,Photography,artwork,The silence that shouts Photography artwork
219,Top 10 things for someone with itchy feet to do during self-isolation,Business|Business Organisation,blog,Top 10 things for someone with itchy feet to do during self-isolation Business|Business Organisation blog
220,A stone bridge on the full moon night,Watercolours,artwork,A stone bridge on the full moon night Watercolours artwork
221,Night View Ha Penny Bridge in Dublin Ireland,Photography,artwork,Night View Ha Penny Bridge in Dublin Ireland Photography artwork
222,What are Set Off and Carry Forward Losses,Legal Studies|Income Tax Laws,blog,What are Set Off and Carry Forward Losses Legal Studies|Income Tax Laws blog
223,Benefits Of A Virtual Portfolio.,Graphics|Articulation|Computer Creation,blog,Benefits Of A Virtual Portfolio. Graphics|Articulation|Computer Creation blog
224,10 Best Artificial Intelligence (AI) Courses Online for 2020,Computer Technology|Machine Learning,blog,10 Best Artificial Intelligence (AI) Courses Online for 2020 Computer Technology|Machine Learning blog
225,5 Best Computer Networking Courses & Certification [2020],Computer Technology|Computer Application,blog,5 Best Computer Networking Courses & Certification [2020] Computer Technology|Computer Application blog
226,Are We Alone In The Universe?,Archeology|Human Prehistory,blog,Are We Alone In The Universe? Archeology|Human Prehistory blog
227,Even and Odd Numbers (PHP),,project,
228,Armstrong No.(C# .Net),,project,
229,Palindrome (C# .Net),,project,
230,Negative or Positive No. (PHP),,project,
231,Friend Number (C# .Net),,project,
232,BEING CREATIVE☺☺,Drawings,artwork,BEING CREATIVE☺☺ Drawings artwork
233,How To Lead Your Startups After Facing Loses: Case Study,Business|Start Ups|Entreperneurship|Business Strategies|Venture Capitalist|Business Planning,blog,How To Lead Your Startups After Facing Loses: Case Study Business|Start Ups|Entreperneurship|Business Strategies|Venture Capitalist|Business Planning blog
234,Must-Visit Hill Stations in Maharashtra,Geography|Indian Geography,blog,Must-Visit Hill Stations in Maharashtra Geography|Indian Geography blog
235,Advantages of Online Shopping Over Offline Shopping,Marketing|Advertising,blog,Advantages of Online Shopping Over Offline Shopping Marketing|Advertising blog
236,Advantages of Online Shopping Over Offline Shopping,Marketing|Advertising,blog,Advantages of Online Shopping Over Offline Shopping Marketing|Advertising blog
237,Benefits of Buying Grocery Online in Twin city of Odisha,E Commerce|Shopping Platform|Other Online Platforms|Digital India,blog,Benefits of Buying Grocery Online in Twin city of Odisha E Commerce|Shopping Platform|Other Online Platforms|Digital India blog
