,title,category,post_type,features
238,How to Choose the Right Home Cleaning Service Provider,Business|Bio-entrepreneurship,blog,How to Choose the Right Home Cleaning Service Provider Business|Bio-entrepreneurship blog
239,Creativity During Quarantine?,Literature|Stories,blog,Creativity During Quarantine? Literature|Stories blog
240,आमची मुंबाई !!!,History|Indian History,blog,आमची मुंबाई !!! History|Indian History blog
241,RADiO JOCKEY,ViDEO,skill,RADiO JOCKEY ViDEO skill
242,freeze,Photography,artwork,freeze Photography artwork
243,SpaceX: As A Case Study,Management|Business Management,blog,SpaceX: As A Case Study Management|Business Management blog
244,Bliss :),Photography,artwork,Bliss :) Photography artwork
245,Sunset,Photography,artwork,Sunset Photography artwork
246,Peaceful,Photography,artwork,Peaceful Photography artwork
247,gripping,Visual Arts|Photography,artwork,gripping Visual Arts|Photography artwork
248,IMPORTANCE OF MENTAL HEALTH,Social Work|Health Education,blog,IMPORTANCE OF MENTAL HEALTH Social Work|Health Education blog
249,CYBER WORLD WAR,Social Work|Social Tech,blog,CYBER WORLD WAR Social Work|Social Tech blog
250,HOW TO PREPARE YOURSELF FOR A BETTER TOMORROW?,Social Work|Humanities,blog,HOW TO PREPARE YOURSELF FOR A BETTER TOMORROW? Social Work|Humanities blog
251,TOWER,Photography,artwork,TOWER Photography artwork
252,PEACE,Photography,artwork,PEACE Photography artwork
253,EYES,Photography,artwork,EYES Photography artwork
254,based on your imagination,Photography,artwork,based on your imagination Photography artwork
255,CANON,Photography,artwork,CANON Photography artwork
256,THOUGHTFUL,Photography,artwork,THOUGHTFUL Photography artwork
257,engrossed,Photography,artwork,engrossed Photography artwork
258,Hermit,Photography,artwork,Hermit Photography artwork
259,innocence,Photography,artwork,innocence Photography artwork
260,peace,Photography,artwork,peace Photography artwork
261,trekking,Photography,artwork,trekking Photography artwork
262,portraying goddess,Photography,artwork,portraying goddess Photography artwork
263,aloof,Photography,artwork,aloof Photography artwork
264,deep thoughts,Photography,artwork,deep thoughts Photography artwork
265,monument,Photography,artwork,monument Photography artwork
266,Bloom🌼,Photography,artwork,Bloom🌼 Photography artwork
267,Be thankful for every second of your life.,Philosophy|Logic,blog,Be thankful for every second of your life. Philosophy|Logic blog
268,Time,Drawings,artwork,Time Drawings artwork
269,Aesthetics,Photography|Visual Arts,artwork,Aesthetics Photography|Visual Arts artwork
270,How Chartered Accountants See Entrepreneurship Trends,Accounting|Financial Accounting,blog,How Chartered Accountants See Entrepreneurship Trends Accounting|Financial Accounting blog
271,The brother sister bond -  A personal touch♥️,Literature|Stories,blog,The brother sister bond -  A personal touch♥️ Literature|Stories blog
272,Smile more often.,Psycholgy|Social Psychology,blog,Smile more often. Psycholgy|Social Psychology blog
273,Doodles woodles!,Drawings,artwork,Doodles woodles! Drawings artwork
274,You are one in a kind!,Photography|Conceptual,artwork,You are one in a kind! Photography|Conceptual artwork
275,Indian Space Research Organisation; ISRO.,Physics|Instrumentation,blog,Indian Space Research Organisation; ISRO. Physics|Instrumentation blog
276,Lovely explosion box!,Craft work,skill,Lovely explosion box! Craft work skill
277,HOW TO THINK DIFFERENTLY?,Social Work|Social Interventions|Substance Abuse,blog,HOW TO THINK DIFFERENTLY? Social Work|Social Interventions|Substance Abuse blog
278,INDIA 5 TRILLION ECONOMY,Economics|Indian Economy,blog,INDIA 5 TRILLION ECONOMY Economics|Indian Economy blog
279,INDIA:- SAVIOR FROM CORONA,Social Work|Substance Abuse|Social Interventions|Humanities,blog,INDIA:- SAVIOR FROM CORONA Social Work|Substance Abuse|Social Interventions|Humanities blog
280,REBEL?,Social Work|Social Interventions|Substance Abuse|Health Education,blog,REBEL? Social Work|Social Interventions|Substance Abuse|Health Education blog
281,Stand alone and stand apart.,Social Work|Humanities|Social Interventions,blog,Stand alone and stand apart. Social Work|Humanities|Social Interventions blog
282,The Best Tools For Financial Analysis.,Finance|Financial Analysis,blog,The Best Tools For Financial Analysis. Finance|Financial Analysis blog
283,Interesting Facts On India That You Had No Idea About,History|Indian History,blog,Interesting Facts On India That You Had No Idea About History|Indian History blog
284,silence,Photography,artwork,silence Photography artwork
285,upside down,Photography,artwork,upside down Photography artwork
286,Beauty,Architecture,artwork,Beauty Architecture artwork
287,insect,Photography,artwork,insect Photography artwork
288,filtered,Photography|Architecture|Painting,artwork,filtered Photography|Architecture|Painting artwork
289,street art; Jaisalmer,Photography,skill,street art; Jaisalmer Photography skill
290,early mornings with Gang,Photography,artwork,early mornings with Gang Photography artwork
291,8 Best Machine Learning Courses for 2020,Computer Technology|Cloud Computing|Artificial Intelligence|Information Technology|Programming languages,blog,8 Best Machine Learning Courses for 2020 Computer Technology|Cloud Computing|Artificial Intelligence|Information Technology|Programming languages blog
292,10 Best UI UX Design Course & Certification [2020],Computer Technology|Design and Analysis of Algorithms|Web designing|Database Management|Artificial Intelligence,blog,10 Best UI UX Design Course & Certification [2020] Computer Technology|Design and Analysis of Algorithms|Web designing|Database Management|Artificial Intelligence blog
293,Sharing is caring!,Literature|Movements in Literature,blog,Sharing is caring! Literature|Movements in Literature blog
294,Love binds,Drawings,artwork,Love binds Drawings artwork
295,No one's worth hate🧡,Drawings,artwork,No one's worth hate🧡 Drawings artwork
296,Dark Matter,Physics|Atomic Physics|Energy Physics|Quantum Mecahnics|Instrumentation,blog,Dark Matter Physics|Atomic Physics|Energy Physics|Quantum Mecahnics|Instrumentation blog
297,Aesthetics,Photography,artwork,Aesthetics Photography artwork
298,Theory Of Capital Structure.,Business|Business Strategies|Venture Capitalist,blog,Theory Of Capital Structure. Business|Business Strategies|Venture Capitalist blog
299,Vintage (JAISALMER IS A REAL BEAUTY AND SO IS RAJASTHAN.),Photography|Conceptual,artwork,Vintage (JAISALMER IS A REAL BEAUTY AND SO IS RAJASTHAN.) Photography|Conceptual artwork
300,Relaxing (Jaisalmer; Rajasthan),Photography|Architecture|Illustration,artwork,Relaxing (Jaisalmer; Rajasthan) Photography|Architecture|Illustration artwork
301,Filtered Busy Streets  (Jaisalmer; Raj.),Photography|Architecture,artwork,Filtered Busy Streets  (Jaisalmer; Raj.) Photography|Architecture artwork
302,Lost?,Photography,artwork,Lost? Photography artwork
303,Formation Of Trade Union,Human Rights|Fundamental Rights|Protection & Enforcement,blog,Formation Of Trade Union Human Rights|Fundamental Rights|Protection & Enforcement blog
304,Light Pollution And How To Solve It.,Environment Studies|Pollution|Environmental Biology,blog,Light Pollution And How To Solve It. Environment Studies|Pollution|Environmental Biology blog
305,Q U I E T,Photography|Conceptual|Illustration,artwork,Q U I E T Photography|Conceptual|Illustration artwork
306,Disappearing,Photography,artwork,Disappearing Photography artwork
307,Shivshakti,Drawings,artwork,Shivshakti Drawings artwork
308,Alone,Painting,artwork,Alone Painting artwork
309,Inside The Black Hole Image That Made History.,Physics|Quantum Mecahnics|Industrial Instrumentation|Atomic Physics|Nuclear & Particle Physics|Energy Physics,blog,Inside The Black Hole Image That Made History. Physics|Quantum Mecahnics|Industrial Instrumentation|Atomic Physics|Nuclear & Particle Physics|Energy Physics blog
310,Trust,Painting,artwork,Trust Painting artwork
311,Near to nature,Painting,artwork,Near to nature Painting artwork
312,Sign of peace,Painting,artwork,Sign of peace Painting artwork
313,What Can I Do to Keep Myself Safe From Coronavirus ?,Biotechnology|Environmental Biotechnology,blog,What Can I Do to Keep Myself Safe From Coronavirus ? Biotechnology|Environmental Biotechnology blog
314,Birds Drawing,Painting,artwork,Birds Drawing Painting artwork
315,Dreaming,Photography,artwork,Dreaming Photography artwork
316,Not too much to lose?,Photography,artwork,Not too much to lose? Photography artwork
317,RAJASTHAN; an absolute beauty.,Geography|Indian Geography,blog,RAJASTHAN; an absolute beauty. Geography|Indian Geography blog
318,E s c a p e,Photography,skill,E s c a p e Photography skill
319,Nature of Industrial Disputes.,Legal Studies|Alternate Dispute Resolution|International Treaties|International Agreement,blog,Nature of Industrial Disputes. Legal Studies|Alternate Dispute Resolution|International Treaties|International Agreement blog
320,Innovative Marketing Strategies,Marketing|Principles Of Marketing|Marketing Research Methadology|Marketing Management|International Marketing,blog,Innovative Marketing Strategies Marketing|Principles Of Marketing|Marketing Research Methadology|Marketing Management|International Marketing blog
321,Goldfish,Painting,artwork,Goldfish Painting artwork
322,Women: goddess,Drawings,artwork,Women: goddess Drawings artwork
323,Pride,Drawings|Painting,artwork,Pride Drawings|Painting artwork
324,Mythical,Painting,artwork,Mythical Painting artwork
325,Light to fight,Photography,artwork,Light to fight Photography artwork
326,Bloom to life,Photography,artwork,Bloom to life Photography artwork
327,Colours of history,Photography,artwork,Colours of history Photography artwork
328,Rise and shine,Photography,artwork,Rise and shine Photography artwork
329,Blessings,Photography,artwork,Blessings Photography artwork
330,Handcrafted,Sculptures,artwork,Handcrafted Sculptures artwork
331,Importance Of Being Productive As A Teenager,Psycholgy|Child Development,blog,Importance Of Being Productive As A Teenager Psycholgy|Child Development blog
332,How will the economy be affected if Nations produce what they eat?,Economics|Economic Policies|Break even Point|Foreign Economy,blog,How will the economy be affected if Nations produce what they eat? Economics|Economic Policies|Break even Point|Foreign Economy blog
333,You know if you've been here.,Photography|Architecture,artwork,You know if you've been here. Photography|Architecture artwork
334,Memory,Photography,artwork,Memory Photography artwork
335,CAPTURED.,Photography,artwork,CAPTURED. Photography artwork
336,Peace,Painting,artwork,Peace Painting artwork
337,You; are enough!,Psycholgy|Psychological Growth,blog,You; are enough! Psycholgy|Psychological Growth blog
338,Too much?,Photography,artwork,Too much? Photography artwork
339,Closeness to nature,Painting,artwork,Closeness to nature Painting artwork
340,Blues,Photography,artwork,Blues Photography artwork
341,How To Use Social Media To Promote A Project,Management|Business Management|Technology Mangement|Managerial Activity|Creative And Lateral Management,blog,How To Use Social Media To Promote A Project Management|Business Management|Technology Mangement|Managerial Activity|Creative And Lateral Management blog
342,Tree Drawing,Drawings,artwork,Tree Drawing Drawings artwork
343,Dusk sky.,Photography,artwork,Dusk sky. Photography artwork
344,Art,Painting,artwork,Art Painting artwork
345,Aesthetic.,Photography,artwork,Aesthetic. Photography artwork
346,Miles to go before I sleep!,Photography,artwork,Miles to go before I sleep! Photography artwork
347,Peace.,Photography,artwork,Peace. Photography artwork
348,Aesthetic.,Photography,artwork,Aesthetic. Photography artwork
349,Solitude,Photography,artwork,Solitude Photography artwork
350,Shree Jagannath Penting,Painting,artwork,Shree Jagannath Penting Painting artwork
351,Pleasant,Photography,artwork,Pleasant Photography artwork
352,Photography Composition,,project,
353,Photography,,project,
354,Guest Posting at Free of Cost,Business,skill,Guest Posting at Free of Cost Business skill
355,Analysis Of Successful Companies For the Past 5 years,Business|Business Strategies|Business Enviorment|New Venture Planning|Foreign Business|Business Organisation,blog,Analysis Of Successful Companies For the Past 5 years Business|Business Strategies|Business Enviorment|New Venture Planning|Foreign Business|Business Organisation blog
356,Innovative Marketing Strategies,Marketing|Principles Of Marketing|International Marketing|Promotion And Distribution Decisions,blog,Innovative Marketing Strategies Marketing|Principles Of Marketing|International Marketing|Promotion And Distribution Decisions blog
357,Urdu Poetry,Social Work|NGO,blog,Urdu Poetry Social Work|NGO blog
358,Covid 19 case before court of earth,Drawings,artwork,Covid 19 case before court of earth Drawings artwork
359,Covid 19 case before court of earth,Drawings,artwork,Covid 19 case before court of earth Drawings artwork
360,Two 🐦 Sing A Song,Drawings,artwork,Two 🐦 Sing A Song Drawings artwork
361,Beautiful Bird,Painting,artwork,Beautiful Bird Painting artwork
362,Platform for Guest Posting,Mixed Media,artwork,Platform for Guest Posting Mixed Media artwork
363,Factious news – The impact on youth.,Social Work|Humanities,blog,Factious news – The impact on youth. Social Work|Humanities blog
364,Street Art Photo by Mathilde Decourcelle,Photography,artwork,Street Art Photo by Mathilde Decourcelle Photography artwork
365,Eyes that speak. Photo by Dan Farrell,Photography,artwork,Eyes that speak. Photo by Dan Farrell Photography artwork
366,She got a new hairstyle! Photo by Chirag,Photography,artwork,She got a new hairstyle! Photo by Chirag Photography artwork
367,Street Art by Chirag.,Photography,artwork,Street Art by Chirag. Photography artwork
368,Shady eyes,Drawings,artwork,Shady eyes Drawings artwork
369,Hello world,Fine Arts|Painting,blog,Hello world Fine Arts|Painting blog
370,Indian Polity And Governance.,Legal Studies|Legal System|Legal Tradition|Nationality Law|Government Law,blog,Indian Polity And Governance. Legal Studies|Legal System|Legal Tradition|Nationality Law|Government Law blog
371,Entrepreneural Training: The roadless travel,Business|Entreperneurship|Venture Capitalist|Business Enviorment|Start Ups|Business Planning|New Venture Planning,blog,Entrepreneural Training: The roadless travel Business|Entreperneurship|Venture Capitalist|Business Enviorment|Start Ups|Business Planning|New Venture Planning blog
372,Keen learner.,Photography,skill,Keen learner. Photography skill
373,Corporate Influence,Legal Studies|Company Law|Legal System|Banking Law,blog,Corporate Influence Legal Studies|Company Law|Legal System|Banking Law blog
374,Students Networking!,,blog,
375,6 Best + Free PLC Programming Training & Course [2020 UPDATED],Computer Technology|Web designing|Artificial Intelligence|Computer Application|Machine Learning|Frontend Development,blog,6 Best + Free PLC Programming Training & Course [2020 UPDATED] Computer Technology|Web designing|Artificial Intelligence|Computer Application|Machine Learning|Frontend Development blog
376,Avengers Theme - Acoustic guitar,Music,skill,Avengers Theme - Acoustic guitar Music skill
377,Nerves,Painting,artwork,Nerves Painting artwork
378,WOOD CARVING,Sculptures|Wood Crafts|Craft|Wood carving,artwork,WOOD CARVING Sculptures|Wood Crafts|Craft|Wood carving artwork
379,TIE AND DYE,Fashion Design,artwork,TIE AND DYE Fashion Design artwork
380,GLASS PAINTING,Painting|Craft|Artistic design,artwork,GLASS PAINTING Painting|Craft|Artistic design artwork
381,PENCIL RENDERING,Drawings,artwork,PENCIL RENDERING Drawings artwork
382,PENCIL RENDERING,Drawings,artwork,PENCIL RENDERING Drawings artwork
383,PENCIL RENDERING,Drawings,artwork,PENCIL RENDERING Drawings artwork
384,STRIPS (TINT;TONE AND SHADE),2D Composition|Watercolours|Painting,artwork,STRIPS (TINT;TONE AND SHADE) 2D Composition|Watercolours|Painting artwork
385,TINT; TONE AND SHADE OF RED,Painting|Watercolours|2D Composition,artwork,TINT; TONE AND SHADE OF RED Painting|Watercolours|2D Composition artwork
386,CHECKS (TINT;TONE AND SHADE),Painting|Watercolours|2D Composition,artwork,CHECKS (TINT;TONE AND SHADE) Painting|Watercolours|2D Composition artwork
387,PRINCIPLES OF DESIGN ( CONTRAST),Visual Arts|Craft|Conceptual,artwork,PRINCIPLES OF DESIGN ( CONTRAST) Visual Arts|Craft|Conceptual artwork
388,PRINCIPLES OF DESIGN (BALANCE),Painting|Visual Arts|Craft|Conceptual,artwork,PRINCIPLES OF DESIGN (BALANCE) Painting|Visual Arts|Craft|Conceptual artwork
389,PRINCIPLES OF DESIGN (CONTRAST),Painting|Craft|Mixed Media|2D Composition,artwork,PRINCIPLES OF DESIGN (CONTRAST) Painting|Craft|Mixed Media|2D Composition artwork
390,MOSAIC ART,Visual Arts|Craft|Mixed Media|Conceptual|Mosaic painting,artwork,MOSAIC ART Visual Arts|Craft|Mixed Media|Conceptual|Mosaic painting artwork
391,PRINCIPLES OF DESIGN (RHYTHM),Craft|Drawings|Conceptual|2D Composition,artwork,PRINCIPLES OF DESIGN (RHYTHM) Craft|Drawings|Conceptual|2D Composition artwork
392,MOSAIC ART,Craft|Mixed Media|Conceptual|Mosaic painting|2D Composition,artwork,MOSAIC ART Craft|Mixed Media|Conceptual|Mosaic painting|2D Composition artwork
393,E-book,Video,skill,E-book Video skill
394,Novel & Consenent (P.H.P),,project,
395,Gangster Style,Drawings,artwork,Gangster Style Drawings artwork
396,WisdomLeaf,Photography,artwork,WisdomLeaf Photography artwork
397,Thor Arriving,Photography,artwork,Thor Arriving Photography artwork
398,STILL,Photography|Architecture,artwork,STILL Photography|Architecture artwork
399,Shree Ganesh Drawing,Drawings,artwork,Shree Ganesh Drawing Drawings artwork
400,God Drawing,Drawings,artwork,God Drawing Drawings artwork
401,God,Drawings,artwork,God Drawings artwork
402,Wildlife Creation.,Photography,artwork,Wildlife Creation. Photography artwork
403,Swift Alone!,Photography,artwork,Swift Alone! Photography artwork
404,Nature,Photography,artwork,Nature Photography artwork
405,Pebbles or Rocks 🙄,Photography,artwork,Pebbles or Rocks 🙄 Photography artwork
406,Sea Shore,Photography,artwork,Sea Shore Photography artwork
407,Camel Shades,Photography,artwork,Camel Shades Photography artwork
408,The Tree,Photography,artwork,The Tree Photography artwork
409,Blur but beautiful <3,Photography,artwork,Blur but beautiful <3 Photography artwork
410,Sky never disappoints me!,Photography,artwork,Sky never disappoints me! Photography artwork
411,The Basic Edge of Design.,Fashion Desigining|Fashion Illustration|Pattern Cutting|Fashion Communication,blog,The Basic Edge of Design. Fashion Desigining|Fashion Illustration|Pattern Cutting|Fashion Communication blog
412,5 points to consider while choosing a pathology lab,Biotechnology|Animal Biotechnology,blog,5 points to consider while choosing a pathology lab Biotechnology|Animal Biotechnology blog
413,The 7 Steps of Doing A Professional Design Task.,Fashion Desigining|Pattern & Culture|Fashion Trends|Fashion Portfoilio,blog,The 7 Steps of Doing A Professional Design Task. Fashion Desigining|Pattern & Culture|Fashion Trends|Fashion Portfoilio blog
414,Quick Sketch of Gangster Skull.,Sketch Video,skill,Quick Sketch of Gangster Skull. Sketch Video skill
415,Daaku,Drawings,artwork,Daaku Drawings artwork
416,Women power,Painting,artwork,Women power Painting artwork
417,Rides,Drawings,artwork,Rides Drawings artwork
418,Importance of Design.,Fashion Desigining|Pattern & Culture|Fashion Textile|Fashion Trends,blog,Importance of Design. Fashion Desigining|Pattern & Culture|Fashion Textile|Fashion Trends blog
419,New platform,Test,skill,New platform Test skill
420,Become professional,Professionalism,skill,Become professional Professionalism skill
421,Making of Daaku Art,Art,skill,Making of Daaku Art Art skill
422,Ganesha,Drawings,artwork,Ganesha Drawings artwork
423,Kabir singh,Drawings,artwork,Kabir singh Drawings artwork
424,The Making of Daaku,Art,skill,The Making of Daaku Art skill
425,Dakrai Artwork.,Pen and ink,artwork,Dakrai Artwork. Pen and ink artwork
426,Future Communication Predictions,Science;Technology,skill,Future Communication Predictions Science;Technology skill
427,Glitch.,Painting,artwork,Glitch. Painting artwork
428,My First Animated Post.,Art; Science,skill,My First Animated Post. Art; Science skill
429,The Power of Indian Audience.,Art,skill,The Power of Indian Audience. Art skill
430,Ruins.,Painting,artwork,Ruins. Painting artwork
431,Form of ma durga,Drawings,artwork,Form of ma durga Drawings artwork
432,HUMAN ILLUSTRATION (With Galaxy Background),Fashion Design|Illustration|Watercolours|Drawings,artwork,HUMAN ILLUSTRATION (With Galaxy Background) Fashion Design|Illustration|Watercolours|Drawings artwork
433,HUMAN ILLUSTRATION ( Background of a room),Drawings|Fashion Design|Illustration|Watercolours,artwork,HUMAN ILLUSTRATION ( Background of a room) Drawings|Fashion Design|Illustration|Watercolours artwork
434,HUMAN ILLUSTRATION,Drawings|Fashion Design|Illustration|Watercolours,artwork,HUMAN ILLUSTRATION Drawings|Fashion Design|Illustration|Watercolours artwork
435,FASHION ILLUSTRATION,Fashion Design|Illustration|Watercolours,artwork,FASHION ILLUSTRATION Fashion Design|Illustration|Watercolours artwork
436,FASHION ILLUSTRATION (OP ART),Drawings|Fashion Design|Mixed Media|Conceptual|Illustration|Pen and ink|Watercolours,artwork,FASHION ILLUSTRATION (OP ART) Drawings|Fashion Design|Mixed Media|Conceptual|Illustration|Pen and ink|Watercolours artwork
437,FASHION ILLUSTRATION (street fashion),Fashion Design|Illustration|Conceptual|Watercolours|Pen and ink,artwork,FASHION ILLUSTRATION (street fashion) Fashion Design|Illustration|Conceptual|Watercolours|Pen and ink artwork
438,Art Expo 2020,Artistic design|Logo Design|Graphic|Illustration,artwork,Art Expo 2020 Artistic design|Logo Design|Graphic|Illustration artwork
439,Save Earth.,Visual Arts|Graphic Design|Artistic design|Graphic|Illustration,artwork,Save Earth. Visual Arts|Graphic Design|Artistic design|Graphic|Illustration artwork
440,Always Remember !!!,Learning,skill,Always Remember !!! Learning skill
441,Always do Right 👍🏻,Learning,skill,Always do Right 👍🏻 Learning skill
442,Zero-Waste Lifestyle,,project,
443,Happy Eid-ul-Fitr 2020,Photography|Architecture,artwork,Happy Eid-ul-Fitr 2020 Photography|Architecture artwork
444,Eid Mubarak,Photography|Architecture|Visual Arts|Graphic Design,artwork,Eid Mubarak Photography|Architecture|Visual Arts|Graphic Design artwork
445,EID MUBARAK,Photography|Architecture|Visual Arts|Graphic Design|Artistic design|Graphic|Logo Design,artwork,EID MUBARAK Photography|Architecture|Visual Arts|Graphic Design|Artistic design|Graphic|Logo Design artwork
446,Design Process,Visual Arts|Graphic Design|2D Composition|Logo Design,artwork,Design Process Visual Arts|Graphic Design|2D Composition|Logo Design artwork
447,Beliefs ❣️,Visual Arts|Photography,artwork,Beliefs ❣️ Visual Arts|Photography artwork
448,Faith in yourself,Photography,artwork,Faith in yourself Photography artwork
449,The Waves Have Stood Still,Photography,artwork,The Waves Have Stood Still Photography artwork
450,"Machine Learning”&“Operations"" (MlOps)",Computer Technology|Machine Learning,blog,"Machine Learning”&“Operations"" (MlOps) Computer Technology|Machine Learning blog"
451,Be yourself !!,Photography,artwork,Be yourself !! Photography artwork
452,Looking at nature through nature,Photography,artwork,Looking at nature through nature Photography artwork
453,Keep working hard !!,Photography,artwork,Keep working hard !! Photography artwork
454,GAN's INTRODUCTION,Computer Technology|Machine Learning,blog,GAN's INTRODUCTION Computer Technology|Machine Learning blog
455,GAN's Part(2),Computer Technology|Machine Learning,blog,GAN's Part(2) Computer Technology|Machine Learning blog
456,Recommend Systems Machine Learning,Computer Technology|Machine Learning,blog,Recommend Systems Machine Learning Computer Technology|Machine Learning blog
457,I was rejected over 200 times before I landed my first job,Sociology|Sociology in India,blog,I was rejected over 200 times before I landed my first job Sociology|Sociology in India blog
458,We can overcome these days!,Painting,artwork,We can overcome these days! Painting artwork
459,Xbox Series X To Launch With 'Thousands' of Games,Mixed Media,artwork,Xbox Series X To Launch With 'Thousands' of Games Mixed Media artwork
460,A solar-powered microbrewery has design-led energy in Sweden,Artistic design,artwork,A solar-powered microbrewery has design-led energy in Sweden Artistic design artwork
461,Understanding Cloud Computing(AWS),Computer Technology|Cloud Computing,blog,Understanding Cloud Computing(AWS) Computer Technology|Cloud Computing blog
462,Here are 7 of my favourite books that I've read so far this year!⠀,Literature|Stories|Fictions|Movements in Literature,blog,Here are 7 of my favourite books that I've read so far this year!⠀ Literature|Stories|Fictions|Movements in Literature blog
463,Designing Cmos circuit from Boolean expressions (Microwind),,project,
464,Moore FSM Sequence Detector,,project,
465,Designing Circular Microstrip Antenna,,project,
466,Launching an EC2 instance.,Technology,skill,Launching an EC2 instance. Technology skill
467,Integrating Machine Learning with devOps(MLops),Computer Technology|Data Science,blog,Integrating Machine Learning with devOps(MLops) Computer Technology|Data Science blog
468,GAN's Introduction,,project,
469,GAN's Introduction,,project,
470,AWS services and how to launch OS on AWS Cloud,Computer Technology|Cloud Computing,blog,AWS services and how to launch OS on AWS Cloud Computer Technology|Cloud Computing blog
471,Cloud Computing,Computer Technology|Computation|Computer Application|Cloud Computing,blog,Cloud Computing Computer Technology|Computation|Computer Application|Cloud Computing blog
472,Acceptance!,Visual Arts|Calligraphy|Pen and ink,artwork,Acceptance! Visual Arts|Calligraphy|Pen and ink artwork
473,Voice of intuition!,Mixed Media|Calligraphy|Pen and ink,artwork,Voice of intuition! Mixed Media|Calligraphy|Pen and ink artwork
474,Self belief.,Typography|Pen and ink,artwork,Self belief. Typography|Pen and ink artwork
475,Your reaction can change your destination.,Typography|Pen and ink,artwork,Your reaction can change your destination. Typography|Pen and ink artwork
476,If you're in hell; don't stop. Keep moving!,Typography|Pen and ink,artwork,If you're in hell; don't stop. Keep moving! Typography|Pen and ink artwork
477,Talented people.,Typography|Pen and ink,artwork,Talented people. Typography|Pen and ink artwork
478,Moments in life,Typography|Calligraphy|Pen and ink,artwork,Moments in life Typography|Calligraphy|Pen and ink artwork
479,Habit.,Calligraphy|Typography|Pen and ink,artwork,Habit. Calligraphy|Typography|Pen and ink artwork
480,Lie!,Typography|Pen and ink,artwork,Lie! Typography|Pen and ink artwork
481,Change.,Calligraphy|Pen and ink,artwork,Change. Calligraphy|Pen and ink artwork
482,Fear.,Typography|Calligraphy|Pen and ink,artwork,Fear. Typography|Calligraphy|Pen and ink artwork
483,Risk,Calligraphy|Typography|Pen and ink,artwork,Risk Calligraphy|Typography|Pen and ink artwork
484,Energy.,Calligraphy|Typography|Pen and ink,artwork,Energy. Calligraphy|Typography|Pen and ink artwork
485,Success Story Of OYO Founder Ritesh Agarwal,Mass Media|Media And Society,blog,Success Story Of OYO Founder Ritesh Agarwal Mass Media|Media And Society blog
486,Learning...,Computer Technology|Machine Learning,blog,Learning... Computer Technology|Machine Learning blog
487,AWS CLI Setup in Mac,Technology,skill,AWS CLI Setup in Mac Technology skill
488,CI/CD using GitHub Actions,Computer Technology|Information Technology,blog,CI/CD using GitHub Actions Computer Technology|Information Technology blog
489,Configure Docker with Django; PostgreSQL; Pg-admin & Elasticsearch,Computer Technology|Computer Application|Information Technology,blog,Configure Docker with Django; PostgreSQL; Pg-admin & Elasticsearch Computer Technology|Computer Application|Information Technology blog
490,Recommendation Engine,,project,
491,Face Recognition using Transfer Learning.,Science; Technology,skill,Face Recognition using Transfer Learning. Science; Technology skill
492,Configure CI/CD Pipeline in GitLab and deployment to server via SSH,Computer Technology|Computer Application|Information Technology,blog,Configure CI/CD Pipeline in GitLab and deployment to server via SSH Computer Technology|Computer Application|Information Technology blog
